benchmark,task_column,task_id,representativeness_score,leave_one_out_aggregate_correlation,useful_representativeness_score,mean_abs_similarity_to_peer_tasks,difficulty_tier,task_score,observed_mean,observed_std,strength_correlation
arc-agi-2,arc-agi-2/arc-agi-2-8e5c0c38_0,arc-agi-2-8e5c0c38_0,0.9985996046884442,0.9985662369739934,0.2815531834398963,0.905954405366123,hard,0.1546874853205855,0.15,0.2819574435974337,0.6801487115205187
arc-agi-2,arc-agi-2/arc-agi-2-b6f77b65_0,arc-agi-2-b6f77b65_0,0.9872574833326428,0.9869556473983382,0.3075439948825956,0.8955424213699165,hard,0.1701037053416355,0.1699999999999999,0.3116087290176576,0.6755139162338354
lawbench,lawbench/lawbench-3-3-16-one-shot,lawbench-3-3-16-one-shot,0.9851105162783179,0.9849056437453113,0.2750850558823642,0.8115372823831736,medium,0.4239693502018327,0.3870000666666666,0.2793009235243036,0.2374860458981098
lawbench,lawbench/lawbench-3-1-15-zero-shot,lawbench-3-1-15-zero-shot,0.9837338628007869,0.9835102065628288,0.4023579844198375,0.8140602089652965,medium,0.6445948797832227,0.574207,0.4091040252912047,0.1961775705048148
arc-agi-2,arc-agi-2/arc-agi-2-135a2760_0,arc-agi-2-135a2760_0,0.9836555977412456,0.9832691695256802,0.3164843941003017,0.8922359168847918,hard,0.1777837612014828,0.18,0.3218695387886216,0.6651253673067425
lawbench,lawbench/lawbench-2-3-21-one-shot,lawbench-2-3-21-one-shot,0.9824074003503274,0.9821656705994026,0.36300229270325923,0.8080802845897125,medium,0.5649363247128851,0.5129759333333334,0.3695937493739969,0.2728526622146591
humanevalfix,humanevalfix/humanevalfix-python-118,humanevalfix-python-118,0.9820978060948614,0.9802183803031982,0.25163181439605453,0.5794270024638402,easy,0.9143217589362812,0.89,0.2567099530598687,0.5435182953479392
arc-agi-2,arc-agi-2/arc-agi-2-446ef5d2_1,arc-agi-2-446ef5d2_1,0.98123243458396,0.9807892771942446,0.30309403886872205,0.890011470926016,hard,0.1549861595623028,0.15,0.3090307428072488,0.6853783562665814
arc-agi-2,arc-agi-2/arc-agi-2-cb2d8a2c_1,arc-agi-2-cb2d8a2c_1,0.9811050316179646,0.9806588955804103,0.3616491314097334,0.8898945159401359,hard,0.1937100363747761,0.2,0.3687817782917155,0.6773150249661606
lawbench,lawbench/lawbench-3-2-8-one-shot,lawbench-3-2-8-one-shot,0.9810687692020823,0.9808088253691235,0.19810927619767144,0.8091689670750908,medium,0.3090581988599541,0.293101,0.2019856174551792,0.2164324239016977
lawbench,lawbench/lawbench-3-1-23-zero-shot,lawbench-3-1-23-zero-shot,0.9809628632895478,0.980701479530043,0.41319250680887404,0.8134689161582382,medium,0.6674153370963958,0.5909264666666666,0.4213234255615459,0.1921265949573869
lawbench,lawbench/lawbench-1-2-5-one-shot,lawbench-1-2-5-one-shot,0.9806640667072485,0.9803986212807103,0.37090092209117737,0.8021105544891663,medium,0.5514972981009719,0.52,0.3783164460254581,0.3091356346171721
