benchmark,task_column,task_id,representativeness_score,leave_one_out_aggregate_correlation,useful_representativeness_score,mean_abs_similarity_to_peer_tasks,difficulty_tier,task_score,observed_mean,observed_std,strength_correlation
arc-agi-2,arc-agi-2/arc-agi-2-8e5c0c38_0,arc-agi-2-8e5c0c38_0,0.9976698122073305,0.9976119303395315,0.28128410958083544,0.8680003053057797,hard,0.1153846153846153,0.15,0.2819574435974337,0.651403689099715
humanevalfix,humanevalfix/humanevalfix-python-118,humanevalfix-python-118,0.9821017853912073,0.9802246901559051,0.25163343419804673,0.5803344949046302,easy,0.9153846153846156,0.89,0.2567099530598687,0.5038870321638436
lawbench,lawbench/lawbench-3-2-8-one-shot,lawbench-3-2-8-one-shot,0.9815509228529031,0.9812981289049394,0.19820810847447623,0.8082760223594918,medium,0.3263802307692307,0.293101,0.2019856174551792,0.3223635957496003
lawbench,lawbench/lawbench-3-3-16-one-shot,lawbench-3-3-16-one-shot,0.9810642441271931,0.9808048466212075,0.2739396994584162,0.8085539921443661,medium,0.4418591538461539,0.3870000666666666,0.2793009235243036,0.316740607763271
lawbench,lawbench/lawbench-3-1-15-zero-shot,lawbench-3-1-15-zero-shot,0.9808032143445568,0.9805402764021321,0.4011429740362627,0.8104487124655674,medium,0.6789621153846154,0.574207,0.4091040252912047,0.2975106709915687
arc-agi-2,arc-agi-2/arc-agi-2-b6f77b65_0,arc-agi-2-b6f77b65_0,0.980554487183544,0.9800757524671581,0.30540015956731553,0.8529250339935985,hard,0.1307692307692307,0.1699999999999999,0.3116087290176576,0.6441344872866014
lawbench,lawbench/lawbench-2-3-21-one-shot,lawbench-2-3-21-one-shot,0.9799152460373886,0.9796402714752058,0.36206892097228155,0.805852501130961,medium,0.5891399615384615,0.5129759333333334,0.3695937493739969,0.3472209649926072
lawbench,lawbench/lawbench-2-10-5-one-shot,lawbench-2-10-5-one-shot,0.9782902017575574,0.977993228150329,0.37690308929205973,0.8077964084200112,medium,0.6365753846153847,0.539959,0.3853841503635906,0.3315465374697116
lawbench,lawbench/lawbench-3-6-6-zero-shot,lawbench-3-6-6-zero-shot,0.9781818541631544,0.9778834151248916,0.3194714726580106,0.8056091898983065,medium,0.5467307692307692,0.474375,0.3266968922028491,0.3208272115016923
lawbench,lawbench/lawbench-2-7-2-one-shot,lawbench-2-7-2-one-shot,0.9779057043598,0.977603531068562,0.18531339720811696,0.8059437107341364,medium,0.3187514615384615,0.278091125,0.1895588460135384,0.3214417315680644
