column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
aime/aime_60,20,6,0.23076923076923078,0.92333335,0.19919279410216506,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.19919279410216506,0,0
aime/aime_61,19,7,0.2692307692307692,0.7526315789473685,0.32503995066620023,1.0,0.45,1.0,0.0,1.0,identity,1.0,0.55,0,0
aime/aime_62,20,6,0.23076923076923078,0.6824999999999999,0.36785696948678304,0.9,0.36250000000000004,1.0,0.0,1.0,identity,0.9,0.6375,0,0
aime/aime_63,19,7,0.2692307692307692,0.3964912105263158,0.32478418489669153,0.4,0.1,0.6,0.0,1.0,identity,0.4,0.5,0,0
aime/aime_64,20,6,0.23076923076923078,0.8375,0.27967615200442103,1.0,0.8,1.0,0.0,1.0,identity,1.0,0.19999999999999996,0,0
aime/aime_65,20,6,0.23076923076923078,0.74,0.2956349099818897,0.9,0.5,1.0,0.0,1.0,identity,0.9,0.5,0,0
aime/aime_66,20,6,0.23076923076923078,0.89,0.1609347693943108,1.0,0.8,1.0,0.6,1.0,identity,1.0,0.19999999999999996,0,0
aime/aime_67,19,7,0.2692307692307692,0.8947368421052632,0.2625255560703142,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.2625255560703142,0,0
aime/aime_68,19,7,0.2692307692307692,0.9298245789473685,0.1551813343717654,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.1551813343717654,0,0
aime/aime_69,19,7,0.2692307692307692,0.8842105263157896,0.24551376399348634,1.0,0.9,1.0,0.0,1.0,identity,1.0,0.09999999999999998,0,0
aime/aime_70,20,6,0.23076923076923078,0.775,0.36038174204584783,1.0,0.6,1.0,0.0,1.0,identity,1.0,0.4,0,0
aime/aime_71,20,6,0.23076923076923078,0.8700000000000001,0.2027313493271329,1.0,0.8,1.0,0.2,1.0,identity,1.0,0.19999999999999996,0,0
aime/aime_72,19,7,0.2692307692307692,0.9789473684210527,0.061378440998371565,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.061378440998371565,0,0
aime/aime_73,19,7,0.2692307692307692,0.6236842105263158,0.33260076472861716,0.75,0.4,0.9,0.0,1.0,identity,0.75,0.5,0,0
aime/aime_74,20,6,0.23076923076923078,0.6849999999999999,0.3940494892776794,1.0,0.35000000000000003,1.0,0.0,1.0,identity,1.0,0.6499999999999999,0,0
aime/aime_75,20,6,0.23076923076923078,0.95,0.1396424004376894,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.1396424004376894,0,0
aime/aime_76,19,7,0.2692307692307692,0.8078947368421052,0.2939133231945203,1.0,0.675,1.0,0.0,1.0,identity,1.0,0.32499999999999996,0,0
